domain_id,sport,category,competition,home,home_id,away,away_id,start_time
G-51789ABA,Football,Argentina,Liga Profesional de Futbol,San Lorenzo,1,Instituto De Cordoba,2,2026-02-24 22:15:00
G-9CA1237C,Football,Barbados,BFA Premier League,St. Andrew Lions,4,Ellerton FC,3,2026-02-24 23:00:00
G-022E7736,Football,International,UEFA Champions League,Bayer Leverkusen,5,Arsenal FC,6,2026-03-11 17:45:00
G-964DA536,Basketball,Brazil,Brazil NBB,Caxias do Sul,7,Vasco da Gama,8,2026-03-11 22:30:00
G-E6FDF496,Cricket,Australia,NCL Women,Queensland (W),9,Victoria (W),10,2026-03-11 23:30:00
G-6DD9DC3F,Basketball,Argentina,Liga Argentina,Gimnasia y Esgrima La Plata,11,Club Atletico Lanus,12,2026-03-11 23:30:00
G-54126B86,Football,Croatia,SHNL,NK Varazdin,13,Vukovar 1991,14,2026-03-13 17:00:00
G-07599A00,Football,Croatia,SHNL,NK Osijek,15,HNK Gorica,16,2026-03-14 14:00:00
G-AD9639E0,Football,Croatia,SHNL,GNK Dinamo Zagreb,17,Slaven Belupo,18,2026-03-14 16:15:00
G-DAD48FEB,Football,Croatia,SHNL,HNK Hajduk Split,19,NK Lokomotiva Zagreb,20,2026-03-15 14:00:00
G-61D4F94B,Football,Croatia,SHNL,HNK Rijeka,21,Istra 1961,22,2026-03-15 16:45:00
G-0F400F25,Football,Argentina,Liga Profesional de Futbol,Estudiantes Rio Cuarto,23,Belgrano,24,2026-03-12 22:15:00
G-DDE86628,Football,Argentina,Liga Profesional de Futbol,Talleres Cordoba,25,Instituto De Cordoba,2,2026-03-12 22:15:00
G-F1F3A564,Football,Argentina,Liga Profesional de Futbol,Defensa y Justicia,26,Central Cordoba SdE,27,2026-03-12 20:00:00
G-89CF953C,Football,Argentina,Liga Profesional de Futbol,Deportivo Riestra,28,Gimnasia Mendoza,29,2026-03-12 20:00:00
G-4EC66E45,Football,Argentina,Liga Profesional de Futbol,Atlético Tucumán,30,Aldosivi,31,2026-03-12 01:00:00
G-75441D12,Football,Argentina,Liga Profesional de Futbol,Independiente Rivadavia,32,Barracas Central,33,2026-03-12 01:00:00
G-D9580FA7,Football,International,UEFA Europa League,Ferencvarosi TC,34,Braga,35,2026-03-12 20:00:00
G-CB594217,Football,International,UEFA Europa League,VfB Stuttgart,36,FC Porto,37,2026-03-12 17:45:00
G-40C7637D,Football,International,UEFA Europa League,Bologna,38,AS Roma,39,2026-03-12 17:45:00
G-218B396B,Football,International,UEFA Europa League,Panathinaikos,40,Real Betis,41,2026-03-12 17:45:00
G-8B1B6435,Football,International,UEFA Europa League,Lille,42,Aston Villa,43,2026-03-12 17:45:00
G-947A8D1C,Football,International,UEFA Europa League,KRC Genk,44,SC Freiburg,45,2026-03-12 20:00:00
G-009A0D9D,Football,International,UEFA Europa League,Celta Vigo,46,Olympique Lyonnais,47,2026-03-12 20:00:00
G-924E03B8,Football,International,UEFA Europa League,Nottingham Forest,48,FC Midtjylland,49,2026-03-12 20:00:00
