domain_event_id,feed_provider,feed_valid_id
G-33FF2E73,bet365,189135832
G-416F8DD7,bet365,189135839
G-B38CE5CD,bet365,190229969
G-96A5238D,bwin,207756700
G-33FF2E73,bwin,207752782
G-A9C8EBE0,bet365,190310061
G-48840284,bet365,190279301
G-96A5238D,bet365,190208095
G-6FA7561D,bwin,19084050
G-C09A6112,bwin,19084965
G-8FDE3FF7,betfair,35303681
G-CAAC37F4,bet365,189641112
G-12403A9C,bet365,186635251
G-B55E0033,bet365,190279285
G-12403A9C,bwin,207752966
G-E5226CE8,bet365,190208188
G-B73EF9B2,bet365,190224576
G-7385EB42,bet365,190669686
G-A8483F22,betfair,35326648
G-84BFC894,betfair,35322648
G-18B96EBE,bet365,190228030
G-E5226CE8,bwin,207756701
