entity_type,domain_id,feed_provider_id,feed_id,domain_name
sports,S-1,1,1,Football
sports,S-1,2,4,Football
sports,S-1,3,1,Football
sports,S-1,4,1,Football
sports,S-2,2,5,Tennis
sports,S-2,3,13,Tennis
sports,S-3,1,4,Cricket
sports,S-3,2,22,Cricket
sports,S-3,3,3,Cricket
sports,S-4,2,7,Basketball
sports,S-4,3,18,Basketball
sports,S-4,4,3,Basketball
sports,S-5,2,100,E-Sports
sports,S-5,3,151,E Sports
sports,S-6,3,2,Horse Racing
sports,S-7,2,12,Ice Hockey
sports,S-7,3,17,Ice Hockey
sports,S-7,4,2,Ice Hockey
sports,S-8,2,18,Volleyball
sports,S-8,3,91,Volleyball
sports,S-8,4,6,Volleyball
sports,S-9,3,4,Greyhounds
sports,S-10,2,56,Table Tennis
sports,S-10,3,92,Table Tennis
sports,S-11,2,11,American Football
sports,S-11,3,12,American Football
sports,S-12,2,31,Rugby League
sports,S-12,3,19,Rugby League
sports,S-13,2,32,Rugby Union
sports,S-13,3,8,Rugby Union
sports,S-14,2,23,Baseball
sports,S-14,3,16,Baseball
sports,S-15,3,78,Handball
sports,S-16,2,33,Snooker
sports,S-16,3,14,Snooker
sports,S-17,2,70,Futsal
sports,S-17,3,83,Futsal
sports,S-18,2,34,Darts
sports,S-18,3,15,Darts
sports,S-19,2,44,Badminton
sports,S-19,3,94,Badminton
sports,S-20,2,36,Aussie Rules
sports,S-20,3,36,Australian Rules
sports,S-21,3,66,Bowls
sports,S-22,2,24,Boxing
sports,S-22,3,9,Boxing
sports,S-23,3,75,Gaelic Sports
sports,S-24,3,90,Floorball
sports,S-25,3,95,Beach Volleyball
sports,S-26,3,110,Water Polo
sports,S-27,3,107,Squash
sports,S-28,3,162,MMA/UFC
sports,S-29,2,6,Formula 1
sports,S-30,2,13,Golf
sports,S-31,2,40,Motorbike
sports,S-32,2,10,Cycling
sports,S-33,2,9,Alpine Skiing
sports,S-34,2,64,Biathlon
