domain_id,name,baseid,created_at,updated_at
S-1,Football,SN_FBL,2026-02-27T19:48:21,2026-02-27T19:48:21
S-2,Tennis,SN_TNS,2026-03-02T09:14:41,2026-03-02T09:14:41
S-3,Cricket,SN_CRK,2026-03-03T12:46:49,2026-03-03T12:46:49
S-4,Basketball,SN_BKB,2026-03-03T13:34:57,2026-03-03T13:34:57
S-5,Esports,SN_ESP,2026-03-03T13:35:07,2026-03-03T13:35:07
S-6,Horse Racing,SN_HR,2026-03-03T13:35:14,2026-03-03T13:35:14
S-7,Ice Hockey,SN_IH,2026-03-03T13:35:51,2026-03-03T13:35:51
S-8,Volleyball,SN_VB,2026-03-03T13:36:02,2026-03-03T13:36:02
S-9,Greyhounds,,2026-03-12T11:00:00,2026-03-12T11:00:00
S-10,Table Tennis,SN_TT,2026-04-15T11:00:00,2026-04-15T11:00:00
S-11,American Football,SN_AFL,2026-04-15T11:00:00,2026-04-15T11:00:00
S-12,Rugby League,SN_RL,2026-04-15T11:00:00,2026-04-15T11:00:00
S-13,Rugby Union,SN_RU,2026-04-15T11:00:00,2026-04-15T11:00:00
S-14,Baseball,SN_BB,2026-04-15T11:00:00,2026-04-15T11:00:00
S-15,Handball,SN_HB,2026-04-15T11:00:00,2026-04-15T11:00:00
S-16,Snooker,SN_SK,2026-04-15T11:00:00,2026-04-15T11:00:00
S-17,Futsal,SN_FS,2026-04-15T11:00:00,2026-04-15T11:00:00
S-18,Darts,SN_DT,2026-04-15T11:00:00,2026-04-15T11:00:00
S-19,Badminton,SN_BD,2026-04-15T11:00:00,2026-04-15T11:00:00
S-20,Australian Rules,SN_AR,2026-04-15T11:00:00,2026-04-15T11:00:00
S-21,Bowls,SN_BS,2026-04-15T11:00:00,2026-04-15T11:00:00
S-22,Boxing,SN_BX,2026-04-15T11:00:00,2026-04-15T11:00:00
S-23,Gaelic Sports,SN_GS,2026-04-15T11:00:00,2026-04-15T11:00:00
S-24,Floorball,SN_FL,2026-04-15T11:00:00,2026-04-15T11:00:00
S-25,Beach Volleyball,SN_BV,2026-04-15T11:00:00,2026-04-15T11:00:00
S-26,Water Polo,SN_WP,2026-04-15T11:00:00,2026-04-15T11:00:00
S-27,Squash,SN_SQ,2026-04-15T11:00:00,2026-04-15T11:00:00
S-28,MMA/UFC,SN_MMA,2026-04-15T11:00:00,2026-04-15T11:00:00
S-29,Formula 1,SN_F1,2026-04-15T11:00:00,2026-04-15T11:00:00
S-30,Golf,SN_GL,2026-04-15T11:00:00,2026-04-15T11:00:00
S-31,Motorbike,SN_MB,2026-04-15T11:00:00,2026-04-15T11:00:00
S-32,Cycling,SN_CY,2026-04-15T11:00:00,2026-04-15T11:00:00
S-33,Alpine Skiing,SN_AS,2026-04-15T11:00:00,2026-04-15T11:00:00
S-34,Biathlon,SN_BI,2026-04-15T11:00:00,2026-04-15T11:00:00
