lang,tid,sportid,brandid,translatedtext,objecttype,basetid,original,version
de,daznbetde_CN_BG-10386,AFB,daznbetde,NCAA Bowl - United States of America-de,competition,CN_BG-10386,NCAA Bowl - United States of America,0
de,daznbetde_CN_BG-13655,VLB,daznbetde,International Friendlies Women U20 - World (DE-Visharad),competition,CN_BG-13655,International Friendlies Women U20 - World,0
de,daznbetde_CN_BG-13654,FBL,daznbetde,Estonia Eliitliiga Esiliiga U19 - Estonia (DE-Visharad),competition,CN_BG-13654,Estonia Eliitliiga Esiliiga U19 - Estonia,1
de,daznbetde_CN_BG-13635,TNS,daznbetde,WTA Gaiba 125K Series Qualification - Italy (DE-Visharad),competition,CN_BG-13635,WTA Gaiba 125K Series Qualification - Italy,0
de,daznbetde_CN_BG-13639,FBL,daznbetde,India Mumbai Super Division Corporate - India (DE-Visharad),competition,CN_BG-13639,India Mumbai Super Division Corporate - India,1
de,daznbetde_CN_BG-13642,BKB,daznbetde,The Asian Tournament - Asia(DE),competition,CN_BG-13642,The Asian Tournament - Asia,0
de,daznbetde_CN_BG-13640,TNS,daznbetde,ATP Santa Cruz 2 Challenger - Bolivia (DE-2),competition,CN_BG-13640,ATP Santa Cruz 2 Challenger - Bolivia,1
de,daznbetde_CN_U-10778,CYC,daznbetde,Other - International(DE-2),competition,CN_U-10778,Other - International,1
de,daznbetde_CN_U-8524,F1,daznbetde,Formula 1 2024 - Formula 1(DE-2),competition,CN_U-8524,Formula 1 2024 - Formula 1,1
de,daznbetde_CN_U-1469,BOX,daznbetde," Internationale Kämpfe",competition,CN_U-1469,International Matchups - International,1
de,daznbetde_CN_BG-10223,BKB,daznbetde,Europe Basketball League Women ,competition,CN_BG-10223,Europe Basketball League Women - Europe,1
de,daznbetde_CN_BG-10266,BKB,daznbetde,Croatia Cup ,competition,CN_BG-10266,Croatia Cup - Croatia,1
de,daznbetde_CN_BG-10430,BKB,daznbetde,NCAA Division I ,competition,CN_BG-10430,NCAA Division I - United States of America,1
de,daznbetde_CN_BG-10445,BKB,daznbetde,Austria Cup Women ,competition,CN_BG-10445,Austria Cup Women - Austria,1
