brandid,sportid,lang,objecttype,pattern,recordtype,version,description
daznbetde,FBL,de,WINNERN-F-1-FLGM-GL,"{""langdescription"": [{""desc"": ""Home Team First Goalscorer"", ""pluralcount"": ""One""}, {""desc"": ""Home Team First Goalscorer"", ""pluralcount"": ""Few""}, {""desc"": ""Home Team First Goalscorer"", ""pluralcount"": ""Many""}, {""desc"": ""Home Team First Goalscorer"", ""pluralcount"": ""Other""}]}",mar,0,Home Team First Goalscorer
daznbetde,FBL,de,WINNERN-F-2-FLGM-GL,"{""langdescription"": [{""desc"": ""Away Team First Goalscorer"", ""pluralcount"": ""One""}, {""desc"": ""Away Team First Goalscorer"", ""pluralcount"": ""Few""}, {""desc"": ""Away Team First Goalscorer"", ""pluralcount"": ""Many""}, {""desc"": ""Away Team First Goalscorer"", ""pluralcount"": ""Other""}]}",mar,0,Away Team First Goalscorer
daznbetde,FBL,de,TOTALS-OU-1-1HLF-CORNER,"{""langdescription"": [{""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Total Home Over/Under $scoretype$ $line$
daznbetde,FBL,de,TOTALS-OU-1-FLGM-CORNER,"{""langdescription"": [{""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Total Home Over/Under $scoretype$ $line$"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Total Home Over/Under $scoretype$ $line$
daznbetde,FBL,de,CORNER2D-CUSTOM-CORNER,"{""langdescription"": [{""desc"": ""$fromminute$-$tominute$ Minute $scoretype$ 3 - Way"", ""pluralcount"": ""One""}, {""desc"": ""$fromminute$-$tominute$ Minute $scoretype$ 3 - Way"", ""pluralcount"": ""Few""}, {""desc"": ""$fromminute$-$tominute$ Minute $scoretype$ 3 - Way"", ""pluralcount"": ""Many""}, {""desc"": ""$fromminute$-$tominute$ Minute $scoretype$ 3 - Way"", ""pluralcount"": ""Other""}]}",mar,0,$fromminute$-$tominute$ Minute $scoretype$ 3 - Way
daznbetde,FBL,de,TOTALS-OU-2-1HLF-CORNER,"{""langdescription"": [{""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Total Away Over/Under $scoretype$ $line$
daznbetde,FBL,de,WINNER2D-SCORE-FLGM-CORNER,"{""langdescription"": [{""desc"": ""Team to Get First Corner"", ""pluralcount"": ""One""}, {""desc"": ""Team to Get First Corner"", ""pluralcount"": ""Few""}, {""desc"": ""Team to Get First Corner"", ""pluralcount"": ""Many""}, {""desc"": ""Team to Get First Corner"", ""pluralcount"": ""Other""}]}",mar,0,Team to Get First Corner
daznbetde,FBL,de,TOTALS-OU-2-FLGM-CORNER,"{""langdescription"": [{""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Total Away Over/Under $scoretype$ $line$"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Total Away Over/Under $scoretype$ $line$
daznbetde,FBL,de,TOTALS-B-FLGM-CARD,"{""langdescription"": [{""desc"": ""$period$ Exact Number of Cards"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Exact Number of Cards"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Exact Number of Cards"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Exact Number of Cards"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Exact Number of Cards
daznbetde,FBL,de,TOTALS-CARDS-B-FLGM-CARD,"{""langdescription"": [{""desc"": ""$period$ Total Number of Cards"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Total Number of Cards"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Total Number of Cards"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Total Number of Cards"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Total Number of Cards
